Mood,Pleasantness,Quadrant
Enraged,Unpleasant,Red
Panicked,Unpleasant,Red
Stressed,Unpleasant,Red
Jittery,Unpleasant,Red
Livid,Unpleasant,Red
Furious,Unpleasant,Red
Frustrated,Unpleasant,Red
Tense,Unpleasant,Red
Fuming,Unpleasant,Red
Frightened,Unpleasant,Red
Angry,Unpleasant,Red
Nervous,Unpleasant,Red
Restless,Unpleasant,Red
Anxious,Unpleasant,Red
Apprehensive,Unpleasant,Red
Worried,Unpleasant,Red
Irritated,Unpleasant,Red
Annoyed,Unpleasant,Red
Repulsed,Unpleasant,Red
Troubled,Unpleasant,Red
Concerned,Unpleasant,Red
Uneasy,Unpleasant,Red
Peeved,Unpleasant,Red
Disgusted,Unpleasant,Red
Shocked,Pleasant,Yellow
Surprised,Pleasant,Yellow
Upbeat,Pleasant,Yellow
Festive,Pleasant,Yellow
Hyper,Pleasant,Yellow
Cheerful,Pleasant,Yellow
Motivated,Pleasant,Yellow
Inspired,Pleasant,Yellow
Elated,Pleasant,Yellow
Lively,Pleasant,Yellow
Excited,Pleasant,Yellow
Optimistic,Pleasant,Yellow
Enthusiastic,Pleasant,Yellow
Energized,Pleasant,Yellow
Thrilled,Pleasant,Yellow
Happy,Pleasant,Yellow
Proud,Pleasant,Yellow
Focused,Pleasant,Yellow
Exhilarated,Pleasant,Yellow
Ecstatic,Pleasant,Yellow
Joyful,Pleasant,Yellow
Playful,Pleasant,Yellow
Blissful,Pleasant,Yellow
Hopeful,Pleasant,Yellow
Pleased,Pleasant,Yellow
At Ease,Pleasant,Green
Easygoing,Pleasant,Green
Content,Pleasant,Green
Loving,Pleasant,Green
Fulfilled,Pleasant,Green
Calm,Pleasant,Green
Secure,Pleasant,Green
Satisfied,Pleasant,Green
Grateful,Pleasant,Green
Touched,Pleasant,Green
Apathetic,Unpleasant,Blue
Down,Unpleasant,Blue
Sad,Unpleasant,Blue
Bored,Unpleasant,Blue
Discouraged,Unpleasant,Blue
Morose,Unpleasant,Blue
Pessimistic,Unpleasant,Blue
Glum,Unpleasant,Blue
Disappointed,Unpleasant,Blue
Alienated,Unpleasant,Blue
Disheartened,Unpleasant,Blue
Miserable,Unpleasant,Blue
Lonely,Unpleasant,Blue
